index,mchirp_msun,duration_20_to_fmax_s,t20_range_s,g_logm_logm,g_logm_t20,g_t20_t20,metric_det,metric_sqrt_det,metric_correlation,metric_volume_density
13,2.1648365390183151e-03,5.7899556492434377e+06,3.7347555649243437e+07,1.4533070953979662e+07,-1.5808124494663647e+00,1.7364570309345762e-07,2.4637323523057475e-02,1.5696280936278337e-01,-9.9510665344217997e-01,5.8621772575381408e+06
14,2.4231661554021200e-03,4.7983673564068638e+06,3.6355967356406868e+07,1.4532453644415509e+07,-1.9074346923222762e+00,2.5282571367111551e-07,3.5870858567177866e-02,1.8939603630271112e-01,-9.9510654622887518e-01,6.8856761132542156e+06
15,2.7123222057906220e-03,3.9766087821145570e+06,3.5534208782114558e+07,1.4589003901336778e+07,-2.3105930681595637e+00,3.6954617637432871e-07,5.2470282222144782e-02,2.2906392606026987e-01,-9.9512191225249491e-01,8.1396053730764817e+06
16,3.0359832038856136e-03,3.2955919803045820e+06,3.4853191980304584e+07,1.4531083407793729e+07,-2.7770403031399180e+00,5.3595387004063237e-07,7.6037543026821197e-02,2.7574905807059652e-01,-9.9510630806281886e-01,9.6107348593226578e+06
17,3.3982666198718826e-03,2.7312112304388573e+06,3.4288811230438858e+07,1.4530324351332810e+07,-3.3507734821933344e+00,7.8032583798359529e-07,1.1070459665717181e-01,3.3272300289756312e-01,-9.9510617602073603e-01,1.1408676238379303e+07
18,3.8037812610278755e-03,2.2634896610159930e+06,3.3821089661015995e+07,1.4529511616097206e+07,-4.0430164233348345e+00,1.1361123339553542e-06,1.6117555404042960e-01,4.0146675334382248e-01,-9.9510603455763613e-01,1.3578043060758414e+07
19,4.2576859029066745e-03,1.8758720444677814e+06,3.3433472044467781e+07,1.4528641676577607e+07,-4.8782417849532935e+00,1.6541048817011851e-06,2.3465420925001368e-01,4.8441119851838033e-01,-9.9510588304349290e-01,1.6195548263691401e+07
20,4.7657549169669144e-03,1.5546387261792873e+06,3.3112238726179287e+07,1.4527710812317997e+07,-5.8859740170817068e+00,2.4082471170841851e-06,3.4162755183659499e-01,5.8448913748383291e-01,-9.9510572081185467e-01,1.9353743853223301e+07
21,5.3344517295389983e-03,1.2884199389465831e+06,3.2846019938946582e+07,1.4583906892039729e+07,-7.1297916118147011e+00,3.5198809908730092e-06,4.9968821404923602e-01,7.0688628084666916e-01,-9.9512103170151867e-01,2.3218400875257488e+07
22,5.9710110466385871e-03,1.0677933081796137e+06,3.2625393308179613e+07,1.4525650411972763e+07,-8.5687844451035744e+00,5.1046352580827695e-06,7.2408037289170579e-01,8.5092912330681558e-01,-9.9510536133919636e-01,2.7761897325269327e+07
23,6.6835308906546594e-03,8.8495029839340004e+05,3.2442550298393399e+07,1.4524512405595016e+07,-1.0338669781614936e+01,7.4317280263671923e-06,1.0541330607006216e+00,1.0267098230272376e+00,-9.9510516257038140e-01,3.3309085075415738e+07
24,7.4810756197615826e-03,7.3341979228365014e+05,3.2291019792283650e+07,1.4523296527358394e+07,-1.2474021468560615e+01,1.0819569888309643e-05,1.5346101882877576e+00,1.2387938441434707e+00,-9.9510495002657429e-01,4.0001916539795958e+07
25,8.3737912406220989e-03,6.0783901636376383e+05,3.2165439016363762e+07,1.4521998006077766e+07,-1.5050275511771630e+01,1.5751610087322511e-05,2.2340573003791064e+00,1.4946763196020423e+00,-9.9510472283987750e-01,4.8076920007362522e+07
