power,n_samples,n_transforms,total_input_samples,iterations_per_repeat,median_seconds,input_samples_per_second
18,262144,2,524288,10,0.0050640294997720044,103531782.35308558
19,524288,2,1048576,10,0.00902634580124868,116168383.42875616
20,1048576,2,2097152,10,0.019125805400835815,109650388.88811201
21,2097152,2,4194304,10,0.06807538209977793,61612639.85051775
22,4194304,2,8388608,10,0.19994919749879045,41953696.763652906
