index,beta,spacing_to_next,mchirp_at_f_min_msun,mchirp_at_f_max_msun,tau_span_s
24,3.6530941199320802e-04,1.4944029462909080e-05,3.9634963738275186e-01,6.1636575268887515e-02,3.0166630155016172e+01
25,3.8025344145611710e-04,1.4922205784591953e-05,4.0599981917126016e-01,6.3137280959180447e-02,3.0173543824842174e+01
26,3.9517564724070905e-04,1.4900420117828800e-05,4.1548567236230072e-01,6.4612431808466000e-02,3.0180455167218351e+01
27,4.1007606735853785e-04,1.4878672384422732e-05,4.2481574291151897e-01,6.6063356803549508e-02,3.0187364182693095e+01
28,4.2495473974296058e-04,1.4856962506364210e-05,4.3399782664813447e-01,6.7491268278615638e-02,3.0194270871813710e+01
29,4.3981170224932479e-04,1.4835290405829744e-05,4.4303905958342510e-01,6.8897275959156123e-02,3.0201175235128378e+01
30,4.5464699265515454e-04,1.4813656005182110e-05,4.5194599461507762e-01,7.0282398890310432e-02,3.0208077273184699e+01
31,4.6946064866033665e-04,1.4792059226968832e-05,4.6072466706059417e-01,7.1647575628005958e-02,3.0214976986531056e+01
32,4.8425270788730548e-04,1.4770499993922942e-05,4.6938065095351650e-01,7.2993672993618447e-02,3.0221874375715263e+01
33,4.9902320788122842e-04,1.4748978228961351e-05,4.7791910765168888e-01,7.4321493633072708e-02,3.0228769441285337e+01
34,5.1377218611018977e-04,1.4727493855185231e-05,4.8634482800799922e-01,7.5631782574840573e-02,3.0235662183789486e+01
35,5.2849967996537500e-04,1.4706046795878659e-05,4.9466226911996375e-01,7.6925232944891175e-02,3.0242552603775870e+01
36,5.4320572676125366e-04,1.4684636974508780e-05,5.0287558648967001e-01,7.8202490967903535e-02,3.0249440701792910e+01
37,5.5789036373576244e-04,1.4663264314725101e-05,5.1098866227856088e-01,7.9464160361185351e-02,3.0256326478388793e+01
38,5.7255362805048754e-04,1.4641928740359057e-05,5.1900513022376127e-01,8.0710806209426181e-02,3.0263209934111813e+01
39,5.8719555679084660e-04,1.4620630175423257e-05,5.2692839768770106e-01,8.1942958393647916e-02,3.0270091069510418e+01
40,6.0181618696626986e-04,1.4599368544111367e-05,5.3476166523576396e-01,8.3161114635736930e-02,3.0276969885133113e+01
41,6.1641555551038122e-04,1.4578143770797142e-05,5.4250794407385439e-01,8.4365743210170777e-02,3.0283846381528356e+01
42,6.3099369928117837e-04,1.4556955780034640e-05,5.5017007162622000e-01,8.5557285366534924e-02,3.0290720559244729e+01
43,6.4555065506121301e-04,1.4535804496556919e-05,5.5775072549136273e-01,8.6736157499815156e-02,3.0297592418830877e+01
44,6.6008645955776993e-04,1.4514689845276148e-05,5.6525243597864017e-01,8.7902753099972003e-02,3.0304461960835436e+01
45,6.7460114940304607e-04,1.4493611751282848e-05,5.7267759739883317e-01,8.9057444507743888e-02,3.0311329185807178e+01
46,6.8909476115432892e-04,1.4472570139845565e-05,5.8002847825742454e-01,9.0200584499810180e-02,3.0318194094294828e+01
47,7.0356733129417449e-04,1.4451564936410221e-05,5.8730723047874067e-01,9.1332507723243042e-02,3.0325056686847176e+01
48,7.1801889623058471e-04,1.4430596066599679e-05,5.9451589777173186e-01,9.2453531996475186e-02,3.0331916964013239e+01
49,7.3244949229718439e-04,1.4409663456213528e-05,6.0165642323347013e-01,9.3563959491724316e-02,3.0338774926341731e+01
50,7.4685915575339792e-04,1.4388767031226889e-05,6.0873065627394640e-01,9.4664077811872804e-02,3.0345630574381911e+01
51,7.6124792278462481e-04,1.4367906717790957e-05,6.1574035893510282e-01,9.5754160973144001e-02,3.0352483908682615e+01
52,7.7561582950241576e-04,1.4347082442231701e-05,6.2268721166791907e-01,9.6834470303500772e-02,3.0359334929792894e+01
53,7.8996291194464747e-04,1.4326294131049755e-05,6.2957281862355619e-01,9.7905255265474264e-02,3.0366183638261973e+01
54,8.0428920607569722e-04,1.4043725585369282e-05,6.3639871250782498e-01,9.8966754211085473e-02,3.0373030034639122e+01
55,8.1833293166106650e-04,,6.4304292646645234e-01,1.0000000000000001e-01,3.0379748792523458e+01
