index,mchirp_msun,delta_log_mchirp_to_next
0,5.0000000000000012e-04,2.9955668551222026
1,9.9983459524908610e-03,0.41363528396702876
2,1.5120553217322271e-02,0.24228329281494743
3,1.9265930006918716e-02,0.17190191880072003
4,2.2879473849180997e-02,0.13328629505179412
5,2.6141562094670143e-02,0.10883987528523376
6,2.9147418231370046e-02,0.09196128770630985
7,3.1954966929341723e-02,0.07960375811488474
8,3.4602688671145833e-02,0.07015945725803929
9,3.7117584889645810e-02,0.0627098016810752
10,3.9519753884537240e-02,0.05667271433869825
11,4.1824126398139948e-02,0.051612698428916026
12,4.4039460343991380e-02,0.04751127883695094
13,4.6182333669232051e-02,0.04434909588089475
14,4.8276574003705490e-02,0.04170746180290763
15,5.0332646106011701e-02,0.03920274097723775
16,5.2345011188042349e-02,0.03677332854684856
17,5.4305741828893472e-02,0.03454989298081701
18,5.6214788172938332e-02,0.0325946476406882
19,5.8077278095778562e-02,0.030862245698504154
20,5.9897618738009223e-02,0.029300246856111656
21,6.1678597904683108e-02,0.027887970858338385
22,6.3422898295472416e-02,0.02660067328617366
23,6.5132629274125581e-02,0.02540390337297449
24,6.6808448343139482e-02,0.024305332723625117
25,6.8452144280318594e-02,0.02331666600547244
26,7.0066973118106612e-02,0.02243911826211331
27,7.1656986750519250e-02,0.021671040256764584
28,7.3226816682248480e-02,0.020992879655514773
29,7.4780307503685209e-02,0.0203715135107152
30,7.6319318314523613e-02,0.019780944228775077
31,7.7844016765451995e-02,0.019205809294789322
32,7.9353523354203301e-02,0.01863409206041755
33,8.0846067125047466e-02,0.018057642217639724
34,8.2319217258929225e-02,0.0174892639459161
35,8.3771583162776317e-02,0.016944719507097084
36,8.5203163754718605e-02,0.016435021385578175
37,8.6615049983094120e-02,0.015964347022229042
38,8.8008899040447230e-02,0.015536328137066402
39,8.9386911080222300e-02,0.015147864994518034
40,9.0751239182615240e-02,0.014786090423270615
41,9.2103064689411124e-02,0.014447898088522315
42,9.3443419722553780e-02,0.01412980626622673
43,9.4773129286222502e-02,0.013830338239015472
44,9.6092979670685683e-02,0.013547338093734762
45,9.7403641700075677e-02,0.013280109611470525
46,9.8705800003436567e-02,0.013026477309267204
47,1.0000000000000002e-01,
