index,mchirp_msun,duration_20_to_fmax_s,t20_range_s,mean_observed_duration_s,mean_stack_samples,mean_bin_width_hz,max_metric_sqrt_det,median_metric_correlation,t20_metric_volume,mean_g_logm_logm,mean_g_logm_t20,mean_g_t20_t20
23,1.1375950511413506e-02,3.6484971437955322e+05,3.1922449714379553e+07,3.5262950000000000e+05,1.1754316666666668e+04,3.3331738124378563e-02,5.4586778436108716e+00,-9.9535788894013777e-01,1.7113597889994162e+08,3.1679297796134252e+07,-5.4521097236243961e+01,9.4709809462563050e-05
24,1.3031321610040031e-02,2.9095831621189433e+05,3.1848558316211894e+07,2.8121300000000000e+05,9.3737666666666664e+03,3.3331332685728077e-02,6.8464348675671580e+00,-9.9535781353061292e-01,2.1409013265445340e+08,3.1675112120610129e+07,-6.8361428080224456e+01,1.4891749074365980e-04
25,1.4927573984602019e-02,2.3203416913128685e+05,3.1789634169131286e+07,2.2426200000000000e+05,7.4753999999999996e+03,3.3330824099825219e-02,8.5879149548767728e+00,-9.9535838030476775e-01,2.6797906433141407e+08,3.1677054042925119e+07,-8.5730486260804540e+01,2.3418933654041860e-04
26,1.7099759466766971e-02,1.8504521790854234e+05,3.1742645217908543e+07,1.7884650000000000e+05,5.9615500000000002e+03,3.3330186246878231e-02,1.0772789179285725e+01,-9.9535799757563659e-01,3.3553379777713042e+08,3.1675637318662163e+07,-1.0750099987352132e+02,3.6824850014393164e-04
27,1.9588030454439735e-02,1.4757368300674969e+05,3.1705173683006749e+07,1.4263150000000000e+05,4.7543833333333332e+03,3.3329386062934889e-02,1.3516387040446750e+01,-9.9535929481086005e-01,4.2030606727152950e+08,3.1682595614212729e+07,-1.3483299262684716e+02,5.7917815371787064e-04
28,2.2438382120506067e-02,1.1769160629967922e+05,3.1675291606299680e+07,1.1375050000000000e+05,3.7916833333333334e+03,3.3328382367482125e-02,1.6960302463266625e+01,-9.9536026737103778e-01,5.2660515375497973e+08,3.1688363957404744e+07,-1.6910679610301722e+02,9.1088221695685050e-04
29,2.5703502624059366e-02,9.3861612395551536e+04,3.1651461612395551e+07,9.0717500000000000e+04,3.0239166666666665e+03,3.3327123730520089e-02,2.1273902924241945e+01,-9.9535885591209916e-01,6.5974027921283710e+08,3.1680559803574607e+07,-2.1200440214991474e+02,1.4319815055742343e-03
30,2.9443747040088571e-02,7.4857776550067007e+04,3.1632457776550066e+07,7.2349000000000000e+04,2.4116333333333332e+03,3.3325544664767566e-02,2.6721417023223406e+01,-9.9535800608326408e-01,8.2676166242342293e+08,3.1679840903529420e+07,-2.6583861064801397e+02,2.2516119427615062e-03
31,3.3728253010515540e-02,5.9702525319567190e+04,3.1617302525319569e+07,5.7702500000000000e+04,1.9234166666666667e+03,3.3323562993372906e-02,3.3552260110736484e+01,-9.9536052342503367e-01,1.0365720797285131e+09,3.1699244592770122e+07,-3.3354204739874160e+02,3.5423441806081367e-03
32,3.8636218739159789e-02,4.7616321529502500e+04,3.1605216321529504e+07,4.6021500000000000e+04,1.5340500000000000e+03,3.3321076750012363e-02,4.2144544345368452e+01,-9.9536491070079736e-01,1.2997255248150918e+09,3.1718103653380651e+07,-4.1847754039304584e+02,5.5728030904194153e-03
33,4.4258366954102291e-02,3.7977543312636204e+04,3.1595577543312635e+07,3.6704500000000000e+04,1.2234833333333333e+03,3.3317959111092282e-02,5.2938544365285431e+01,-9.9536094427749200e-01,1.6289603978072236e+09,3.1709623812123068e+07,-5.2460505921784409e+02,8.7601407427966137e-03
34,5.0698621898488901e-02,3.0290491792531917e+04,3.1587890491792534e+07,2.9275500000000000e+04,9.7585000000000002e+02,3.3314044724291010e-02,6.6555617221568255e+01,-9.9536573464611422e-01,2.0430008766277323e+09,3.1735329577686463e+07,-6.5831798062127552e+02,1.3783614912434161e-02
35,5.8076030348600378e-02,2.4159880471594199e+04,3.1581759880471595e+07,2.3351000000000000e+04,7.7836666666666667e+02,3.3309124793534484e-02,8.3782470808029089e+01,-9.9537922912877808e-01,2.5654606552789946e+09,3.1825794678295735e+07,-8.2771429379184860e+02,2.1727408697901272e-02
36,6.6526962168809656e-02,1.9270493075097991e+04,3.1576870493075099e+07,1.8624000000000000e+04,6.2079999999999995e+02,3.3302963391663880e-02,1.0543581113067064e+02,-9.9537130168906662e-01,3.2148550307985630e+09,3.1803339511397444e+07,-1.0371668633751503e+03,3.4139148467371157e-02
37,7.6207631080227378e-02,1.5370962683509928e+04,3.1572970962683510e+07,1.4857000000000000e+04,4.9523333333333335e+02,3.3295210754205891e-02,1.3305995485153869e+02,-9.9538763152767062e-01,4.0380698473221831e+09,3.1906651021624669e+07,-1.3045169414938803e+03,5.3831547456073006e-02
38,8.7296982238922474e-02,1.2260837154196834e+04,3.1569860837154198e+07,1.1849500000000000e+04,3.9498333333333335e+02,3.3285493804073890e-02,1.6804881517693732e+02,-9.9537217186411819e-01,5.0620453320903416e+09,3.1903038454444293e+07,-1.6355320498098865e+03,8.4626209490825124e-02
39,1.0000000000000001e-01,9.7802650138372865e+03,3.1567380265013836e+07,9.4525000000000000e+03,3.1508333333333331e+02,3.3273249667951768e-02,2.1282532532114121e+02,-9.9539460337798036e-01,6.3643172538862724e+09,3.2058738882805850e+07,-2.0603123093140325e+03,1.3363625086376790e-01
