t_obs_s,f_ratio,strobo_input_hz,eps,strobo_samples,strobo_output_samples,nufft_samples,nufft_modes,strobo_seconds,nufft_seconds,nufft_speedup
30.0,2.0,1024.0,0.5,30848,15359,15360,15359,0.005993111000861973,0.015846948001126293,0.37818708059343814
30.0,2.483715624146968,1271.6623995632476,0.40262258298731357,38278,15359,15360,15359,0.0036496129978331737,0.0193555469995772,0.1885564380026509
30.0,3.0844216508158815,1579.2238852177313,0.3242098886627524,47505,15359,15360,15359,0.005813827996462351,0.018787284003337845,0.30945548038925885
30.0,3.8304131227942935,1961.1715188706783,0.26106844560685355,58964,15359,15360,15359,0.006106183001975296,0.004001080000307411,1.526133694279081
30.0,4.756828460010883,2435.496171525572,0.21022410381342868,73193,15359,15360,15359,0.005955459997494472,0.017937197000719607,0.3320173155959401
30.0,5.9073045837579965,3024.539946884094,0.1692819433671116,90865,15359,15360,15359,0.0051425090023258235,0.004172711000137497,1.2324143709344766
30.0,7.336032345637369,3756.048560966333,0.13631346658315724,112810,15359,15360,15359,0.004692399998020846,0.0168887010004255,0.27784256455855455
30.0,9.110309078053533,4664.478247963409,0.10976576002333123,140063,15359,15360,15359,0.003647007000836311,0.01946404200134566,0.18737151310011418
30.0,11.31370849898476,5792.618751480197,0.08838834764831845,173907,15359,15360,15359,0.005231294002442155,0.009787932998733595,0.5344636097446726
30.0,14.050017282986396,7193.608848889035,0.07117428967229322,215937,15359,15360,15359,0.00569673599966336,0.017225764000613708,0.3307102082357799
30.0,17.448123722644123,8933.439345993791,0.05731275270029195,268132,15359,15360,15359,0.0044776819995604455,0.018602781998197315,0.24069958998575325
30.0,21.668088750990286,11094.061440507026,0.04615081706060935,332950,15359,15360,15359,0.007312532001378713,0.017721562999213347,0.4126347095740547
30.0,26.908685288118853,13777.246867516853,0.03716272234383505,413446,15359,15360,15359,0.0068357899981492665,0.012952952998602996,0.5277398905783508
30.0,33.41676103767723,17109.381651290743,0.029925102521830435,513410,15359,15360,15359,0.0072486520002712496,0.00075325400030124,9.623117829274562
30.0,41.498865748832294,21247.419263402135,0.024097044146999085,637551,15359,15360,15359,0.00789988599717617,0.0008093579999695066,9.760681920082098
30.0,51.53569062237612,26386.273598656575,0.019404028313648194,791717,15359,15360,15359,0.00767629400070291,0.017325949000223773,0.4430518640337546
30.0,64.0,32768.0,0.015625,983168,15359,15360,15359,0.007166954997956054,0.0008067809976637363,8.883395888983515
300.0,2.0,1024.0,0.5,307328,153617,153600,153617,0.01055666199681582,0.017378079999616602,0.6074699850069007
300.0,2.483715624146968,1271.6623995632476,0.40262258298731357,381627,153617,153600,153617,0.012168192999524763,0.020344632997876033,0.5981033425766449
300.0,3.0844216508158815,1579.2238852177313,0.3242098886627524,473896,153617,153600,153617,0.012125848999858135,0.020945815998857142,0.5789150921845085
300.0,3.8304131227942935,1961.1715188706783,0.26106844560685355,588480,153617,153600,153617,0.01312381600291701,0.01675755199903506,0.7831583040096018
300.0,4.756828460010883,2435.496171525572,0.21022410381342868,730777,153617,153600,153617,0.015601187998981914,0.021311461001459975,0.7320562395001042
300.0,5.9073045837579965,3024.539946884094,0.1692819433671116,907490,153617,153600,153617,0.01464398400275968,0.021072094001283403,0.6949467861081002
300.0,7.336032345637369,3756.048560966333,0.13631346658315724,1126943,153617,153600,153617,0.014569568000297295,0.017324761000054423,0.840967907161982
300.0,9.110309078053533,4664.478247963409,0.10976576002333123,1399472,153617,153600,153617,0.01939538700025878,0.021538679000514094,0.9004910189615548
300.0,11.31370849898476,5792.618751480197,0.08838834764831845,1737914,153617,153600,153617,0.018212928000139073,0.016830350999953225,1.0821478411347267
